disease,symptoms
Influenza,"Fever, Cough, Sore Throat, Runny Nose, Body Aches, Fatigue"
COVID-19,"Fever, Cough, Shortness of Breath, Loss of Taste or Smell, Fatigue"
Diabetes,"Increased Thirst, Frequent Urination, Unexplained Weight Loss, Fatigue, Blurred Vision"
Hypertension,"Headache, Dizziness, Nosebleeds, Blurred Vision, Shortness of Breath"
Asthma,"Wheezing, Shortness of Breath, Chest Tightness, Coughing"
Tuberculosis,"Chronic Cough, Fever, Night Sweats, Weight Loss, Fatigue"
Migraine,"Severe Headache, Nausea, Sensitivity to Light, Sensitivity to Sound"
Pneumonia,"Cough, Fever, Chest Pain, Difficulty Breathing, Fatigue"
Dengue Fever,"High Fever, Severe Headache, Pain Behind Eyes, Joint Pain, Rash"
Malaria,"Fever, Chills, Sweating, Muscle Pain, Nausea"
Anemia,"Fatigue, Pale Skin, Shortness of Breath, Dizziness, Cold Hands and Feet"
Arthritis,"Joint Pain, Swelling, Stiffness, Reduced Range of Motion"
Chickenpox,"Itchy Rash, Fever, Fatigue, Loss of Appetite"
Hepatitis,"Jaundice, Fatigue, Nausea, Abdominal Pain, Dark Urine"
Typhoid,"High Fever, Weakness, Abdominal Pain, Loss of Appetite, Diarrhea"
Measles,"Fever, Rash, Cough, Runny Nose, Red Eyes"
Mumps,"Swollen Salivary Glands, Fever, Headache, Muscle Aches, Fatigue"
Rubella,"Mild Fever, Rash, Swollen Lymph Nodes, Red Eyes, Joint Pain"
Ebola,"Severe Fever, Vomiting, Diarrhea, Bleeding, Muscle Pain"
Zika Virus,"Mild Fever, Rash, Joint Pain, Red Eyes, Headache"
Cholera,"Severe Diarrhea, Dehydration, Vomiting, Leg Cramps"
Leptospirosis,"High Fever, Headache, Chills, Muscle Aches, Jaundice"
Tetanus,"Muscle Stiffness, Lockjaw, Difficulty Swallowing, Fever, Sweating"
Rabies,"Fever, Anxiety, Hydrophobia, Excess Salivation, Paralysis"
Yellow Fever,"High Fever, Jaundice, Bleeding, Organ Failure, Headache"
Plague,"Swollen Lymph Nodes, Fever, Chills, Weakness, Cough"
Polio,"Muscle Weakness, Paralysis, Fever, Sore Throat, Stiff Neck"
